ZIP,num_sch,num_work,num_personal,num_pickdrop,num_discret,num_shop,num_home,num_em,num_m,num_aft,num_evn,num_walk,num_bike,num_taxi,num_local_bus,num_inter_rail,num_intra_rail,num_auto,num_other
91724,1,18,2,2,17,6,14,5,32,42,42,5,0,0,1,0,0,110,0
91730,14,53,28,27,49,48,37,21,144,180,177,32,10,0,4,3,0,435,0
91731,3,26,4,3,7,12,5,13,38,39,36,19,1,0,18,1,2,80,0
91732,8,13,1,12,11,8,18,7,56,41,53,13,4,0,0,0,0,115,0
91733,1,29,0,0,24,10,6,7,54,48,13,34,1,0,2,0,0,82,0
91737,29,16,2,10,22,11,22,10,58,71,78,3,2,0,5,1,0,176,0
91739,26,22,3,31,16,29,24,16,105,115,100,7,5,0,2,0,0,292,0
91740,6,16,0,3,19,16,12,13,47,49,76,13,0,0,2,0,0,161,0
91741,29,21,4,23,26,5,33,17,108,83,79,16,8,0,1,0,0,242,0
91744,9,11,5,15,22,4,14,8,46,78,44,3,0,0,1,0,0,157,0
91745,27,33,2,26,30,49,28,21,94,111,114,16,0,0,4,0,0,293,0
91746,5,14,1,6,3,0,4,3,17,21,21,5,0,0,1,0,0,57,0
91748,8,27,2,16,21,43,14,4,62,88,92,12,2,0,2,0,0,214,0
91750,16,30,9,24,34,37,23,7,86,99,108,12,3,0,3,1,0,269,0
91752,3,17,1,3,12,8,7,9,18,22,31,0,1,0,1,0,0,69,0
91754,19,21,10,20,24,10,20,18,90,61,99,25,3,0,13,0,0,203,0
91755,4,8,1,3,8,3,8,4,27,28,39,11,0,0,0,0,0,76,0
91759,0,0,0,0,4,0,0,0,2,0,1,0,0,0,0,0,0,6,0
91761,17,59,9,19,26,13,41,51,95,86,84,5,3,0,2,0,0,274,8
91762,7,31,2,12,17,10,20,12,75,64,52,2,0,0,1,0,0,176,0
91763,8,12,5,7,20,59,19,4,93,82,56,44,0,0,6,2,0,165,0
91764,11,25,1,9,13,39,25,7,67,99,67,24,0,0,2,0,0,192,0
91765,13,20,6,14,29,12,21,13,96,79,78,5,2,0,0,0,0,228,0
